sample_id,ambiguous_question,annotation_id,long_answer,knowledge,wikipages,qa_pair_id,sub_question,short_answers
6087617540935009990,When does halley's comet come back around?,1,"Halley's Comet or Comet Halley, officially designated 1P/Halley, is a short-period comet visible from Earth every 75–76 years. Halley last appeared in the inner parts of the Solar System in 1986 and will come back around in mid-2061 to 2062.","Halley's Comet or Comet Halley, officially designated 1P/Halley,[2] is a short-period comet visible from Earth every 75–76 years.[2][10][11][12]
Halley last appeared in the inner parts of the Solar System in 1986 and will next appear in mid-2061.[14]",Halley's Comet: https://en.wikipedia.org/wiki/Halley%27s%20Comet,2,When is the period does halley's comet come back around?,every 75–76 years
6198433147510073269,Who produced toni braxton just be a man about it?,0,Teddy Bishop was the main producer for Toni Braxton’s “Just Be a Man About It.” A telephone breakup song which Toni Braxton and Bryan-Michael Cox co-produced. ,"""Just Be a Man About It"" is a telephone breakup song, where Braxton questions the status of a partner's manhood and Dr. Dre plays the wayward lover breaking the news to her.",Just Be a Man About It: https://en.wikipedia.org/wiki/Just%20Be%20a%20Man%20About%20It,3,"Who were the co producers of Toni Braxton's ""Just Be a Man""?","Toni Braxton, Bryan-Michael Cox"
5650367261587015274,When did pakistan won olympic gold medal in hockey for the first time?,0,"Pakistan won their first Olympic gold medal in field hockey on September 9, 1960 in Rome. They won their second Olympic gold medal in Mexico City in the 1968 Summer Olympics and their 3rd Olympic Gold Medal in Los Angeles in 1984. Pakistan is the most successful national field hockey team in the Hockey World Cup with four championships: 1971, 1978, 1982 and 1994.  However, Pakistan has not qualified for the Olympics since 2012.",[NO_KNOWLEDGE_AVAILABLE],"Pakistan at the Olympics: https://en.wikipedia.org/wiki/Pakistan%20at%20the%20Olympics
Pakistan men's national field hockey team: https://en.wikipedia.org/wiki/Pakistan%20men%27s%20national%20field%20hockey%20team",0,When did Pakistan win an Olympic gold medal in men's field hockey for the second time?,1968
-2028008768314817948,Who is elected as the vice president of india?,0,"The second highest constitutional office or the position of Vice President in India was held by Bhairon Singh Shekhawat from August 2002 until he resigned on 21 July 2007. From 2007 to 2017, Mohammad Hamid Ansari served two terms as the 12th Vice President after his re-appointment in 2012. On 11 August 2017, the Vice President seat was then held by Venkaiah Naidu after being sworn in as the 13th vice president of the country.  ","Bhairon Singh Shekhawat (23 October 1925 – 15 May 2010) was the 11th Vice President of India
He served in that position from August 2002, when he was elected to a five-year term by the electoral college following the death of Krishan Kant, until he resigned on 21 July 2007, after losing the presidential election to Pratibha Patil.
Mohammad Hamid Ansari (About this soundpronunciation (help·info); born 1 April 1937) is an Indian politician and retired Foreign service officer who was the 12th Chairman of Rajya Sabha and 12th Vice President of India from 2007 to 2017.
His second term ended in August 2017 since he was not offered another term, he decided not to run for a third term in the 2017 vice-presidential election.
In 2012 Vice presidential election, the Congress-led UPA re-appointed Ansari as their candidate for the post of VP. ","List of vice presidents of India: https://en.wikipedia.org/wiki/List%20of%20vice%20presidents%20of%20India
Vice President of India: https://en.wikipedia.org/wiki/Vice%20President%20of%20India",3,Who was elected as the Vice President of India in 2017?,Venkaiah Naidu
-7035938730030199426,Who used to be on the five on fox?,0,"Bob Beckel, Andrea Tantaros, Eric Bolling, Kimberly Guilfoyle were the former hosts of ""The Five"" on Fox News. Robert ""Bob"" Beckel left ""The Five"" on Fox News. Andrea Tantaros left ""The Five"" on April 25, 2016 indefinitely. Eric Bolling left ""The Five"" on Fox News in April 2017. Kimberly Guilfoyle left ""The Five"" on Fox News in 2018.",[NO_KNOWLEDGE_AVAILABLE],"Jesse Watters: https://en.wikipedia.org/wiki/Jesse%20Watters
The Five (talk show): https://en.wikipedia.org/wiki/The%20Five%20%28talk%20show%29
Juan Williams: https://en.wikipedia.org/wiki/Juan%20Williams",0,"Who are the former hosts of ""The Five"" on Fox News?","Bob Beckel, Andrea Tantaros, Eric Bolling, Kimberly Guilfoyle, Bob Beckel, Andrea Tantaros, Eric Bolling, and Kimberly Guilfoyle, Beckel, Tantaros, Bolling, Guilfoyle"
-4851598933373440850,When did jackie robinson retire from the brooklyn dodgers?,0,"Jackie Robinson ended his major league career when he struck out to end Game 7 of the 1956 World Series on October 10, 1956. He officially retired from the Brooklyn Dodgers at 37 years old on January 5, 1957.",[NO_KNOWLEDGE_AVAILABLE],Jackie Robinson: https://en.wikipedia.org/wiki/Jackie%20Robinson,4,When was Jackie Robinson's retirement from the Brooklyn Dodgers?,"October 10, 1956, 1956, after the 1956 season"
8600407550125901057,How many seats are there in the parliament of ghana?,1,"The legislative body of Ghana's government, the Parliament of Ghana, has had 275 seats since 2012, while it had 104 seats in 1954 and 1970, 140 seats in 1969, 200 seats in 1992, and 230 seats in 2004.",The Parliament of Ghana is the legislative body of the Government of Ghana.,Parliament of Ghana: https://en.wikipedia.org/wiki/Parliament%20of%20Ghana,5,"How many seats are there in the parliament of ghana, since 2012?",275
-2636605142286822139,When does master chef junior start in 2018?,1,"There are several MasterChef Junior series. MasterChef Junior started in January 2018 in Ukraine. MasterChef Junior started on March 2, 2018 in America and on March 27, 2018 in Albania.It started on August 19, 2018 in Thailand and September 13, 2018 in Greece.",[NO_KNOWLEDGE_AVAILABLE],"Junior MasterChef Australia: https://en.wikipedia.org/wiki/Junior%20MasterChef%20Australia
Junior MasterChef: https://en.wikipedia.org/wiki/Junior%20MasterChef
MasterChef Junior Thailand: https://en.wikipedia.org/wiki/MasterChef%20Junior%20Thailand
MasterChef Junior Albania: https://en.wikipedia.org/wiki/MasterChef%20Junior%20Albania
MasterChef Junior (American season 6): https://en.wikipedia.org/wiki/MasterChef%20Junior%20%28American%20season%206%29
Junior MasterChef Greece: https://en.wikipedia.org/wiki/Junior%20MasterChef%20Greece
MasterChef (American TV series): https://en.wikipedia.org/wiki/MasterChef%20%28American%20TV%20series%29
MasterChef Junior (American season 7): https://en.wikipedia.org/wiki/MasterChef%20Junior%20%28American%20season%207%29
MasterChef Junior (Brazilian TV series): https://en.wikipedia.org/wiki/MasterChef%20Junior%20%28Brazilian%20TV%20series%29",4,When does master chef junior start in 2018 in Ukraine?,January 2018
5621684038737486499,What family does paris belong to in romeo and juliet?,1,"William Shakespeare's play ""Romeo and Juliet"" contains a relatively distinctive cast of characters. In addition to the play's eponymous protagonists, Romeo Montague and Juliet Capulet, the play contains roles for members of their respective families and households. Prince Escalus, the city's ruler, and his kinsman, Count Paris are both members of the House of Escalus. Mercutio, also in the House of Escalus, is not a member of the royal family but supports and fights on the Montague side of the feud.","House of Escalus
Prince Escalus
Count Paris
Mercutio","Characters in Romeo and Juliet: https://en.wikipedia.org/wiki/Characters%20in%20Romeo%20and%20Juliet
Count Paris: https://en.wikipedia.org/wiki/Count%20Paris",0,What royal family member does paris belong to in romeo and juliet?,Prince Escalus
318044511055681208,Who played alan turner's son in emmerdale?,1,"More than one person played Terence Turner, Alan Turner's son on the British ITV soap opera Emmerdale. Actor Stephen Marchant played the character in 1985, debuting on-screen as Terence in April 1985. On 9 December 2005, it was announced that Terence would be returning to the serial, with Nick Brimble taking over the role. Brimble played Terence until the character's death in 2006.","Actor Stephen Marchant debuted on-screen as Terence in April 1985.
On 9 December 2005, It was announced that Terence would be returning to the serial, with Nick Brimble taking over the role.","Terence Turner: https://en.wikipedia.org/wiki/Terence%20Turner
Alan Turner (Emmerdale): https://en.wikipedia.org/wiki/Alan%20Turner%20%28Emmerdale%29",2,Who played alan turner's son in emmerdale in 1985?,Stephen Marchant
5780388869788119926,Who is the current chairman of african union commission?,0,"The 4th chairman of the African Union Commission is Moussa Faki Mahamat, who became chairman in 2017. Before him was chairman Nkosazana Clarice Dlamini-Zuma starting as the 3rd in 2012. Nkosazana replaced the 2nd chairman, Jean Ping who started as chairman in 2008. ",[NO_KNOWLEDGE_AVAILABLE],"Chairperson of the African Union Commission: https://en.wikipedia.org/wiki/Chairperson%20of%20the%20African%20Union%20Commission
African Union Commission: https://en.wikipedia.org/wiki/African%20Union%20Commission",0,Who is the 4th chairman of african union commission?,"Moussa Faki, Moussa Faki Mahamat"
-8163860826799817667,Who won the battle of blackburn's ford?,1,"The Battle of Blackburn's Ford was a battle in the American Civil War that occurred on July 18, 1861 when the Union army met Confederate forces while marching towards the Confederate capital of Richmond, Virginia. The Confederacy won this battle with the Confederate Army of the Potomac, led by Brig. Gen. P. G. T. Beauregard.","The Battle of Blackburn's Ford (also known as the Skirmish at Blackburn's Ford)[2] took place on July 18, 1861, in the Confederate state of Virginia, as part of the Manassas campaign of the American Civil War. Union general Irvin McDowell's Army of Northeastern Virginia was marching south towards the Confederate capitol of Richmond, and encountered the Confederate Army of the Potomac under the command of P. G. T. Beauregard",Battle of Blackburn's Ford: https://en.wikipedia.org/wiki/Battle%20of%20Blackburn%27s%20Ford,0,Which country won the battle of blackburn's ford?,"CSA, Confederacy, C.S., Confederate States of America"
